UseCaseId,Domain,WorkPhase,Role,UseCaseName,CurrentTask,InputData,OutputData,CurrentTool,PainPoint,DecisionType,RiskLevel,RequiresDomainKnowledge,RequiresDesignJudgment,RequiresLegalJudgment,RequiresConstructionJudgment,DataStructuredness,Frequency,CandidateAIUse,CandidateDXService,Stakeholders,DeepDiveRequired,DeepDiveReason,DeepDiveQuestion
UC-001,BIM,Design,BIM Coordinator,Door schedule quality check,Check door schedule data for missing values and inconsistent naming before using the data for reporting,Revit door schedule,Door data quality issue list,Revit and Excel,Manual checking takes time and missing values are difficult to find consistently,DataCheck,Medium,TRUE,FALSE,FALSE,FALSE,Structured,Weekly,Detect missing values and inconsistent naming,Rule-based quality checker,BIM Coordinator,FALSE,The checking rules are relatively clear,Which door parameters should be treated as mandatory
UC-002,BIM,Design,BIM Coordinator,Room name consistency check,Check whether room names and room numbers are consistently entered across the BIM room schedule,Revit room schedule,Room consistency check result,Revit and Excel,Room naming varies by project and causes issues in downstream reporting,DataCheck,Medium,TRUE,FALSE,FALSE,FALSE,Structured,Weekly,Detect blank or inconsistent room names,Rule-based quality checker,BIM Coordinator and Design Manager,TRUE,Naming rules may differ by project and need stakeholder confirmation,What room naming rules should be used as the source of truth
UC-003,COBie,Handover,BIM Coordinator,COBie Component.Space validation,Validate whether COBie Component.Space values are filled and aligned with available room or space information,COBie spreadsheet and room schedule,COBie validation result,Excel and COBie spreadsheet,Space information is often missing or difficult to match before handover,Comparison,Medium,TRUE,FALSE,FALSE,FALSE,Structured,ProjectBased,Compare Component.Space values with room or space data,Rule-based quality checker,BIM Coordinator and FM Manager,TRUE,Handover requirements and space naming rules need confirmation,Which space list should be treated as the correct reference for handover
UC-004,BIM,Design,BIM Coordinator,BIM rule explanation assistant,Explain BIM quality rules and fix priorities based on project BIM standards and quality check results,BIM standard documents and quality check results,Rule explanation and recommended fix guidance,Markdown and documents,Users may not understand why a rule failed or how to fix it,Explanation,Medium,TRUE,FALSE,FALSE,FALSE,SemiStructured,Weekly,Generate explanations using reference documents,RAG assistant,BIM Coordinator and Project Manager,TRUE,Reference documents and rule interpretation need confirmation,Which BIM standards and fix guides should be used as reference sources
UC-005,RFI,Construction,Site Manager,RFI draft support,Create a draft response or summary for RFI based on drawings specifications and previous communication,RFI log drawings specifications and emails,Draft RFI response,Email PDF and Excel,Preparing draft responses takes time and related information is scattered,DraftSupport,High,TRUE,TRUE,TRUE,TRUE,SemiStructured,ProjectBased,Suggest draft response based on reference information,Human-reviewed AI drafting support,Site Manager Design Manager and Project Manager,TRUE,RFI responses may affect design construction cost or responsibility,Who must approve the final RFI response before sending
UC-006,Meeting,Internal Management,Project Manager,Meeting minutes summarization,Summarize meeting transcripts and extract action items decisions and open issues,Meeting transcript and notes,Meeting summary and action item list,Teams and manual notes,Meeting notes are time-consuming and action items may be missed,Summarization,Low,FALSE,FALSE,FALSE,FALSE,Unstructured,Weekly,Summarize transcript and extract action items,Automation support tool,Project Manager,FALSE,The task is mainly summarization and does not make final decisions,What format should be used for action items and decisions
UC-007,Construction Management,Construction,Construction Manager,Construction issue classification,Classify construction issues by type priority responsible role and possible AI or DX support pattern,Issue log site reports and photos,Classified construction issue list,Excel and reports,Issues are difficult to compare because descriptions are inconsistent,Classification,Medium,TRUE,FALSE,FALSE,TRUE,SemiStructured,Weekly,Classify issues and identify trends,BI dashboard and classification support,Construction Manager and Site Manager,TRUE,Issue severity and responsibility require construction context,What issue categories and priority rules should be used
UC-008,Design Review,Design,Design Manager,Drawing revision impact review,Review drawing revision lists and identify possible impact areas for BIM model update coordination,Drawing revision list BIM model change log and design notes,Revision impact review list,PDF Excel and BIM model,It is difficult to understand which BIM areas may be affected by drawing revisions,RiskReview,High,TRUE,TRUE,FALSE,FALSE,SemiStructured,ProjectBased,Identify possible affected areas for human review,Human-reviewed risk review support,Design Manager and BIM Coordinator,TRUE,Design impact cannot be finalized by AI and requires expert review,Who confirms whether a revision requires BIM model update
UC-009,Facility Management,Handover,FM Manager,Equipment list comparison,Compare equipment lists from BIM COBie and handover documents to find missing or inconsistent items,BIM equipment schedule COBie spreadsheet and handover list,Equipment comparison result,Excel COBie and BIM schedule,Equipment information may not match across different handover documents,Comparison,Medium,TRUE,FALSE,FALSE,FALSE,Structured,ProjectBased,Compare equipment lists and detect mismatches,Automation support tool and rule-based checker,FM Manager and BIM Coordinator,TRUE,Handover data sources and naming rules need agreement,Which equipment list should be used as the master list
UC-010,Facility Management,Facility Management,FM Manager,Facility management handover data check,Check whether handover data contains enough information for future facility management use,BIM schedule COBie documents manuals and asset list,Handover data readiness report,Excel PDF and COBie spreadsheet,FM requirements are often unclear during handover and missing data may be found too late,RiskReview,High,TRUE,FALSE,TRUE,FALSE,SemiStructured,ProjectBased,Check handover data completeness and suggest missing information,RAG assistant and human-reviewed checklist,FM Manager BIM Coordinator and Client Representative,TRUE,FM requirements legal responsibility and owner requirements need confirmation,What information is mandatory for facility management after handover
