UseCaseId,UseCaseName,Domain,WorkPhase,RecommendedApproach,RAGSuitable,BISuitable,AutomationSuitable,RuleBasedCheckSuitable,HumanReviewRequired,DeepDiveRequired,CandidateDXService,Reason,RequiredData,ExpectedOutput,OutOfScope
UC-001,Door schedule quality check,BIM,Design,Rule-based Check + Human Review,False,True,True,True,False,True,Rule-based quality checker,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for BI or reporting because it can support issue tracking, comparison, or trend analysis. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",Revit door schedule,Door data quality issue list,False
UC-002,Room name consistency check,BIM,Design,Rule-based Check + Human Review,False,True,True,True,False,True,Rule-based quality checker,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for BI or reporting because it can support issue tracking, comparison, or trend analysis. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",Revit room schedule,Room consistency check result,False
UC-003,COBie Component.Space validation,COBie,Handover,Rule-based Check + Human Review,False,False,True,True,False,True,Rule-based quality checker,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",COBie spreadsheet and room schedule,COBie validation result,False
UC-004,BIM rule explanation assistant,BIM,Design,RAG Assistant + Human Review,True,False,True,False,False,True,RAG assistant,"It is suitable for RAG support because it may require reference documents, explanations, or draft generation. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",BIM standard documents and quality check results,Rule explanation and recommended fix guidance,False
UC-005,RFI draft support,RFI,Construction,RAG Assistant + Human Review,True,False,False,False,True,True,Human-reviewed AI drafting support,"It is suitable for RAG support because it may require reference documents, explanations, or draft generation. Human review is required because the task may involve design, construction, legal, risk, responsibility, or high-impact decisions. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",RFI log drawings specifications and emails,Draft RFI response,False
UC-006,Meeting minutes summarization,Meeting,Internal Management,Automation Support,False,False,True,False,False,True,Automation support tool,"It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",Meeting transcript and notes,Meeting summary and action item list,False
UC-007,Construction issue classification,Construction Management,Construction,DX Service Candidate Review,False,True,False,False,True,True,BI dashboard and classification support,"It is suitable for BI or reporting because it can support issue tracking, comparison, or trend analysis. Human review is required because the task may involve design, construction, legal, risk, responsibility, or high-impact decisions. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",Issue log site reports and photos,Classified construction issue list,False
UC-008,Drawing revision impact review,Design Review,Design,RAG Assistant + Human Review,True,False,False,True,True,True,Human-reviewed risk review support,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for RAG support because it may require reference documents, explanations, or draft generation. Human review is required because the task may involve design, construction, legal, risk, responsibility, or high-impact decisions. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",Drawing revision list BIM model change log and design notes,Revision impact review list,False
UC-009,Equipment list comparison,Facility Management,Handover,Rule-based Check + Human Review,False,False,True,True,False,True,Automation support tool and rule-based checker,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",BIM equipment schedule COBie spreadsheet and handover list,Equipment comparison result,False
UC-010,Facility management handover data check,Facility Management,Facility Management,RAG Assistant + Human Review,True,True,False,True,True,True,RAG assistant and human-reviewed checklist,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for RAG support because it may require reference documents, explanations, or draft generation. It is suitable for BI or reporting because it can support issue tracking, comparison, or trend analysis. Human review is required because the task may involve design, construction, legal, risk, responsibility, or high-impact decisions. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",BIM schedule COBie documents manuals and asset list,Handover data readiness report,False
